,id,date_recorded,gps_height,longitude,latitude,basin,public_meeting,scheme_management,construction_year,extraction_type_class,management,payment_type,water_quality,quantity,source,source_class,waterpoint_type,year_recorded,date_recordedMonth,date_recordedElapsed,population_log,age
18,28330,2012-10-06 00:00:00,1006.5466781827075,31.59,-3.38780779,Lake Tanganyika,1,Parastatal,2001.0,gravity,parastatal,unknown,soft,seasonal,rainwater harvesting,surface,communal standpipe,2012,10,642,5.017279836814924,11.0
19,18532,2013-02-02 00:00:00,368.0,39.44,-10.58336646,Ruvuma / Southern Coast,1,Water Board,1982.0,submersible,vwc,never pay,soft,dry,machine dbh,groundwater,communal standpipe,2013,2,761,5.707110264748875,31.0
20,69961,2013-03-12 00:00:00,-27.0,39.32,-6.85026202,Wami / Ruvu,1,SWC,2010.0,submersible,other - school,never pay,soft,enough,machine dbh,groundwater,communal standpipe,2013,3,799,4.795790545596741,3.0
21,55083,2011-03-07 00:00:00,1674.0,34.94,-9.35251465,Rufiji,1,VWC,2008.0,gravity,vwc,never pay,soft,insufficient,spring,groundwater,communal standpipe,2011,3,63,3.4339872044851463,3.0
22,8691,2013-02-04 00:00:00,1087.0,31.05,-5.05419563,Lake Tanganyika,1,VWC,2005.0,other,vwc,unknown,milky,enough,shallow well,groundwater,other,2013,2,763,7.467942332285852,8.0
23,30331,2013-02-09 00:00:00,1441.0,34.62,-5.16592646,Internal,1,VWC,1970.0,motorpump,vwc,unknown,unknown,dry,machine dbh,groundwater,communal standpipe,2013,2,768,0.6931471805599453,43.0
24,70970,2012-10-07 00:00:00,1173.378147229115,33.72,-3.04712172,Lake Victoria,1,WUG,2008.0,handpump,wug,never pay,soft,enough,shallow well,groundwater,hand pump,2012,10,643,5.707110264748875,4.0
25,61136,2011-02-23 00:00:00,1726.0,34.93,-9.15287185,Rufiji,1,VWC,2008.0,gravity,vwc,monthly,soft,enough,spring,groundwater,communal standpipe,2011,2,51,3.9318256327243257,3.0
26,28799,2013-02-18 00:00:00,986.0,35.42,-10.57968552,Ruvuma / Southern Coast,1,VWC,2009.0,gravity,vwc,never pay,soft,dry,river,surface,communal standpipe,2013,2,777,5.5254529391317835,4.0
27,46825,2011-04-10 00:00:00,794.8941593781286,35.89,-6.14752205,Wami / Ruvu,1,VWC,2000.0,motorpump,vwc,per bucket,salty,dry,machine dbh,groundwater,communal standpipe multiple,2011,4,97,5.017279836814924,11.0
28,44718,2013-02-04 00:00:00,985.5051196900513,34.16,-4.839638417936174,Lake Victoria,1,WUG,2002.0,handpump,wug,on failure,salty abandoned,enough,shallow well,groundwater,hand pump,2013,2,763,5.303304908059076,11.0
29,37350,2013-02-20 00:00:00,1309.0,36.29,-5.24231281,Internal,1,VWC,2002.0,gravity,vwc,never pay,soft,seasonal,rainwater harvesting,surface,communal standpipe,2013,2,779,6.7580945044277305,11.0
30,65738,2013-12-03 00:00:00,1564.0,35.61,-3.35116762,Internal,1,VWC,2002.0,gravity,vwc,per bucket,soft,enough,river,surface,communal standpipe,2013,12,1065,5.303304908059076,11.0
31,3271,2012-10-29 00:00:00,493.8888888888889,32.86,-3.92819891,Internal,0,VWC,1984.0,motorpump,vwc,never pay,soft,enough,machine dbh,groundwater,communal standpipe,2012,10,665,5.303304908059076,28.0
32,42658,2012-11-05 00:00:00,1891.875,33.12,-4.85766882,Lake Tanganyika,1,VWC,2005.0,handpump,vwc,never pay,soft,seasonal,shallow well,groundwater,hand pump,2012,11,672,4.7535901911063645,7.0
33,67523,2013-03-13 00:00:00,1537.0,35.67,-3.34770932,Internal,1,VWC,1998.0,gravity,vwc,per bucket,coloured,enough,river,surface,communal standpipe multiple,2013,3,800,5.707110264748875,15.0
34,37034,2011-03-27 00:00:00,1489.0,34.72,-8.86253212,Rufiji,1,WUA,1978.0,gravity,wua,monthly,soft,enough,river,surface,communal standpipe,2011,3,83,5.8888779583328805,33.0
35,42432,2011-07-04 00:00:00,1798.0,34.71,-9.1394961,Rufiji,1,WUA,1978.0,gravity,wua,monthly,soft,enough,river,surface,communal standpipe,2011,7,182,3.828641396489095,33.0
36,27420,2011-03-14 00:00:00,824.0030060770713,38.84,-4.77558442,Pangani,1,VWC,1971.0,gravity,vwc,never pay,coloured,insufficient,spring,groundwater,communal standpipe,2011,3,70,5.303304908059076,40.0
37,707,2013-02-22 00:00:00,1642.0,37.66,-3.7238624,Pangani,1,WUA,1972.0,gravity,wua,monthly,soft,enough,spring,groundwater,communal standpipe,2013,2,781,3.828641396489095,41.0
38,48489,2011-02-27 00:00:00,362.0,37.48,-6.28331307,Wami / Ruvu,1,VWC,1984.0,gravity,vwc,never pay,soft,insufficient,river,surface,communal standpipe,2011,2,55,0.6931471805599453,27.0
39,51008,2011-03-30 00:00:00,995.506304507463,33.33,-8.88128573,Lake Rukwa,1,VWC,2000.0,gravity,wug,on failure,soft,dry,river,surface,communal standpipe,2011,3,86,5.178970608915471,11.0
40,72562,2013-02-06 00:00:00,128.0,40.04,-10.49203103,Ruvuma / Southern Coast,1,VWC,2006.0,submersible,vwc,per bucket,soft,enough,machine dbh,groundwater,communal standpipe multiple,2013,2,765,5.993961427306569,7.0
41,10275,2011-03-19 00:00:00,216.0,38.72,-5.17252308,Pangani,1,VWC,1983.0,handpump,vwc,never pay,soft,insufficient,shallow well,groundwater,hand pump,2011,3,75,4.795790545596741,28.0
42,53540,2012-10-12 00:00:00,543.5625,33.14,-3.71753771,Lake Victoria,1,VWC,1994.0,other,vwc,never pay,soft,enough,machine dbh,groundwater,communal standpipe multiple,2012,10,648,4.966335035199676,18.0
43,43291,2011-08-14 00:00:00,168.33333333333334,33.33,-2.70336413,Lake Victoria,1,VWC,2003.0,handpump,vwc,never pay,unknown,dry,shallow well,groundwater,hand pump,2011,8,223,5.638354669333745,8.0
44,8813,2011-07-28 00:00:00,1487.0,33.13,-3.22665421,Lake Victoria,1,VWC,2004.0,submersible,vwc,per bucket,soft,enough,lake,surface,communal standpipe multiple,2011,7,206,3.9318256327243257,7.0
45,62343,2011-04-03 00:00:00,976.7384360901804,33.63,-8.86101931,Rufiji,1,VWC,2000.0,gravity,wug,on failure,soft,dry,river,surface,communal standpipe,2011,4,90,5.303304908059076,11.0
46,1649,2012-10-15 00:00:00,1031.1180359611124,32.36,-4.96546043,Lake Tanganyika,1,VWC,1999.0,handpump,vwc,on failure,soft,enough,machine dbh,groundwater,hand pump,2012,10,651,5.170483995038151,13.0
47,8822,2013-03-04 00:00:00,1010.0,37.71,-4.00583487,Pangani,1,Water authority,2007.0,submersible,vwc,per bucket,salty,insufficient,machine dbh,groundwater,communal standpipe,2013,3,791,5.198497031265826,6.0
48,10352,2011-04-12 00:00:00,1242.4557721349288,33.66,-8.98179247,Rufiji,0,VWC,2000.0,gravity,wug,on failure,soft,enough,river,surface,communal standpipe,2011,4,99,4.394449154672439,11.0
49,50878,2012-10-16 00:00:00,1356.0,33.78,-3.06340514,Lake Victoria,1,Water authority,2008.0,gravity,private operator,monthly,soft,enough,dam,surface,communal standpipe,2012,10,652,5.707110264748875,4.0
50,15266,2011-07-23 00:00:00,1085.279761904762,33.59,-9.16743357,Lake Nyasa,1,VWC,2000.0,gravity,vwc,never pay,soft,enough,spring,groundwater,communal standpipe,2011,7,201,3.713572066704308,11.0
51,51956,2011-03-18 00:00:00,1190.0,38.42,-4.6312447,Pangani,1,VWC,1974.0,gravity,vwc,never pay,soft,enough,spring,groundwater,communal standpipe,2011,3,74,0.6931471805599453,37.0
52,44099,2013-02-09 00:00:00,642.0,37.12,-10.78502855,Ruvuma / Southern Coast,1,VWC,1992.0,handpump,vwc,monthly,soft,insufficient,machine dbh,groundwater,hand pump,2013,2,768,0.6931471805599453,21.0
53,59,2012-10-15 00:00:00,1342.5,33.59,-3.71955244,Internal,1,VWC,1987.0,gravity,vwc,per bucket,soft,insufficient,spring,groundwater,communal standpipe multiple,2012,10,651,5.017279836814924,25.0
54,51359,2013-01-19 00:00:00,-5.0,39.56,-9.13206159,Ruvuma / Southern Coast,1,VWC,2002.0,submersible,vwc,unknown,soft,unknown,machine dbh,groundwater,communal standpipe multiple,2013,1,747,6.274762021241939,11.0
55,15962,2011-08-01 00:00:00,1073.5402009765025,34.22,-5.6197437510164185,Lake Victoria,1,VWC,1996.0,other,vwc,unknown,unknown,dry,machine dbh,groundwater,other,2011,8,210,5.484796933490655,15.0
56,17853,2011-08-07 00:00:00,1226.0,33.06,-1.82664599,Lake Victoria,1,other,1999.0,gravity,vwc,never pay,soft,insufficient,spring,groundwater,improved spring,2011,8,216,7.0909098220799835,12.0
57,42040,2013-03-30 00:00:00,1387.0,37.55,-3.28942377,Pangani,1,WUA,1970.0,gravity,wua,never pay,soft,insufficient,spring,groundwater,communal standpipe,2013,3,817,0.6931471805599453,43.0
58,72243,2013-02-12 00:00:00,805.0,35.99,-10.53404797,Rufiji,1,WUG,1990.0,handpump,wug,on failure,soft,enough,shallow well,groundwater,hand pump,2013,2,771,5.5254529391317835,23.0
59,63653,2013-03-28 00:00:00,1544.0,36.62,-3.29203785,Pangani,1,VWC,2004.0,gravity,vwc,never pay,soft,insufficient,spring,groundwater,communal standpipe,2013,3,815,5.303304908059076,9.0
60,26510,2012-10-13 00:00:00,876.75,33.78,-3.32682925,Internal,1,WUG,1987.0,handpump,wug,other,soft,enough,shallow well,groundwater,hand pump,2012,10,649,3.9318256327243257,25.0
61,72053,2011-08-01 00:00:00,1277.5,30.5,-2.59036242,Lake Victoria,1,VWC,1994.0,gravity,vwc,never pay,soft,insufficient,spring,groundwater,other,2011,8,210,7.022868086082641,17.0
62,29351,2012-10-19 00:00:00,1369.0,34.25,-1.20066603,Lake Victoria,1,VWC,2011.0,handpump,vwc,monthly,soft,enough,shallow well,groundwater,hand pump,2012,10,655,6.329720905522696,1.0
63,51897,2013-01-29 00:00:00,1584.0,34.86,-4.97090922,Internal,1,VWC,1990.0,other,vwc,unknown,unknown,dry,shallow well,groundwater,other,2013,1,757,0.6931471805599453,23.0
64,20376,2011-03-04 00:00:00,1609.0,35.11,-8.18809279,Rufiji,1,VWC,2000.0,handpump,vwc,annually,soft,enough,hand dtw,groundwater,hand pump,2011,3,60,5.303304908059076,11.0
65,26804,2011-03-23 00:00:00,334.0,36.5,-8.55105463,Rufiji,1,other,2010.0,handpump,vwc,monthly,soft,enough,shallow well,groundwater,hand pump,2011,3,79,5.442417710521793,1.0
66,67303,2013-03-19 00:00:00,1070.0,36.8,-3.45135176,Pangani,1,VWC,1988.0,gravity,vwc,never pay,soft,enough,spring,groundwater,other,2013,3,806,5.017279836814924,25.0
67,69780,2013-02-18 00:00:00,1286.0,37.63,-3.13469202,Pangani,1,Company,1962.0,gravity,company,monthly,soft,insufficient,spring,groundwater,communal standpipe,2013,2,777,0.6931471805599453,51.0
68,45374,2013-02-16 00:00:00,1078.2878367386031,33.83,-2.980429246940345,Lake Victoria,1,WUG,1998.0,handpump,wug,unknown,soft,enough,shallow well,groundwater,hand pump,2013,2,775,5.351858133476067,15.0
69,54665,2013-03-17 00:00:00,1624.0,37.23,-3.18441406,Pangani,1,Water Board,2008.0,gravity,water board,per bucket,soft,enough,spring,groundwater,communal standpipe,2013,3,804,0.6931471805599453,5.0
70,39341,2013-02-11 00:00:00,1282.0,30.13,-4.24867926,Lake Tanganyika,1,Water authority,1978.0,submersible,vwc,other,soft,enough,machine dbh,groundwater,communal standpipe multiple,2013,2,770,6.85751406254539,35.0
71,8869,2013-02-03 00:00:00,462.0,37.46,-11.20866259,Ruvuma / Southern Coast,1,VWC,1986.0,gravity,vwc,monthly,soft,enough,river,surface,communal standpipe,2013,2,762,0.6931471805599453,27.0
72,20691,2011-04-08 00:00:00,940.9035650840337,33.17,-8.942157,Lake Rukwa,1,VWC,2001.0,handpump,vwc,on failure,soft,insufficient,shallow well,groundwater,hand pump,2011,4,95,4.394449154672439,10.0
73,19693,2013-02-19 00:00:00,1571.0,35.53,-4.48085439,Internal,1,VWC,2008.0,gravity,vwc,never pay,soft,dry,spring,groundwater,communal standpipe,2013,2,778,5.402677381872279,5.0
74,14321,2011-08-20 00:00:00,1546.0,32.0,-8.80386259,Lake Rukwa,1,VWC,1985.0,handpump,vwc,never pay,soft,enough,machine dbh,groundwater,hand pump,2011,8,229,3.9318256327243257,26.0
75,63059,2013-02-08 00:00:00,808.2297297297297,33.52,-3.13524663,Lake Victoria,1,WUG,2002.0,gravity,wug,per bucket,soft,insufficient,machine dbh,groundwater,communal standpipe multiple,2013,2,767,4.61512051684126,11.0
76,67403,2011-03-05 00:00:00,-7.0,39.06,-5.28936932,Pangani,1,VWC,2009.0,gravity,vwc,never pay,soft,insufficient,machine dbh,groundwater,communal standpipe multiple,2011,3,61,3.258096538021482,2.0
77,28912,2013-03-21 00:00:00,1133.0,37.23,-3.27103862,Pangani,1,Water Board,2008.0,gravity,water board,per bucket,soft,enough,spring,groundwater,communal standpipe,2013,3,808,4.836281906951478,5.0
78,12549,2011-03-10 00:00:00,828.3166666666666,35.57,-6.33698054,Internal,1,VWC,1998.0,motorpump,vwc,per bucket,soft,enough,machine dbh,groundwater,communal standpipe,2011,3,66,5.803627809625917,13.0
79,24328,2013-03-06 00:00:00,900.0,37.59,-3.7304578,Pangani,1,Water Board,1972.0,gravity,water board,monthly,soft,insufficient,spring,groundwater,other,2013,3,793,4.394449154672439,41.0
80,13750,2012-10-28 00:00:00,1136.5,32.04,-4.99156819,Lake Tanganyika,1,VWC,1993.0,handpump,vwc,never pay,soft,enough,shallow well,groundwater,hand pump,2012,10,664,3.828641396489095,19.0
81,1574,2011-03-23 00:00:00,1237.0,38.47,-4.8647269,Pangani,1,VWC,1969.0,gravity,vwc,never pay,soft,enough,spring,groundwater,communal standpipe,2011,3,79,0.6931471805599453,42.0
82,44149,2011-07-08 00:00:00,1474.2344322344322,31.37,-1.06107072,Lake Victoria,1,VWC,2007.0,handpump,vwc,never pay,soft,insufficient,shallow well,groundwater,hand pump,2011,7,186,5.442417710521793,4.0
83,53917,2011-07-10 00:00:00,424.1708333333334,31.13,-1.69420356,Lake Victoria,1,WUA,2008.0,gravity,vwc,annually,soft,enough,spring,groundwater,communal standpipe,2011,7,188,5.2390980068880655,3.0
84,22705,2013-06-03 00:00:00,1388.0,36.88,-3.31430939,Pangani,1,VWC,2007.0,gravity,vwc,unknown,soft,insufficient,spring,groundwater,communal standpipe,2013,6,882,4.59511985013459,6.0
85,66465,2012-10-25 00:00:00,906.872909566458,32.05,-3.41259554,Lake Tanganyika,1,Parastatal,1997.0,gravity,parastatal,unknown,soft,seasonal,rainwater harvesting,surface,communal standpipe,2012,10,661,5.0238805208462765,15.0
86,15644,2011-07-26 00:00:00,1257.5966170750582,31.83,-1.11325712,Lake Victoria,1,VWC,2004.0,gravity,vwc,never pay,soft,insufficient,rainwater harvesting,surface,communal standpipe,2011,7,204,5.673323267171493,7.0
87,20773,2011-03-30 00:00:00,751.3294213482487,35.82,-5.30269309,Internal,1,VWC,2000.0,motorpump,vwc,never pay,soft,enough,machine dbh,groundwater,communal standpipe,2011,3,86,5.303304908059076,11.0
88,33092,2011-03-22 00:00:00,774.0,36.96,-7.59517464,Rufiji,1,Other,2011.0,gravity,other,never pay,soft,enough,spring,groundwater,communal standpipe,2011,3,78,5.707110264748875,0.0
89,54392,2013-02-15 00:00:00,677.0,37.48,-3.81858443,Pangani,1,Private operator,2012.0,motorpump,private operator,annually,unknown,enough,dam,surface,communal standpipe,2013,2,774,5.771441123130016,1.0
90,37850,2011-03-20 00:00:00,105.0,38.91,-6.74295268,Wami / Ruvu,1,Water authority,2010.0,motorpump,vwc,per bucket,soft,enough,river,surface,communal standpipe multiple,2011,3,76,0.6931471805599453,1.0
91,5576,2011-02-14 00:00:00,1764.0,35.77,-8.02782346,Rufiji,1,VWC,2008.0,handpump,vwc,never pay,soft,enough,machine dbh,groundwater,hand pump,2011,2,42,0.6931471805599453,3.0
92,60840,2013-02-13 00:00:00,1182.0,35.87,-4.13979616,Internal,1,VWC,1998.0,gravity,vwc,never pay,soft,insufficient,spring,groundwater,communal standpipe,2013,2,772,4.290459441148391,15.0
93,9971,2011-07-16 00:00:00,1116.0,31.24,-6.37911714,Lake Rukwa,0,Water authority,1972.0,gravity,water authority,never pay,soft,enough,spring,groundwater,communal standpipe,2011,7,194,4.2626798770413155,39.0
94,57508,2011-03-16 00:00:00,875.0,36.64,-6.81836802,Wami / Ruvu,1,VWC,1996.0,handpump,vwc,on failure,soft,insufficient,shallow well,groundwater,hand pump,2011,3,72,5.860786223465865,15.0
95,25872,2012-10-18 00:00:00,1147.8289494584812,33.0,-4.19322784,Internal,0,VWC,1997.0,handpump,vwc,never pay,soft,enough,shallow well,groundwater,hand pump,2012,10,654,5.170483995038151,15.0
96,43978,2011-03-19 00:00:00,2116.0,33.99,-8.9881064,Rufiji,1,VWC,1974.0,gravity,vwc,on failure,soft,enough,spring,groundwater,communal standpipe,2011,3,75,5.929589143389895,37.0
97,38181,2011-03-12 00:00:00,2576.0,33.92,-9.19113626,Lake Nyasa,1,VWC,1986.0,gravity,vwc,on failure,soft,enough,spring,groundwater,communal standpipe,2011,3,68,5.860786223465865,25.0
98,24325,2011-03-14 00:00:00,344.0,37.62,-6.13357212,Wami / Ruvu,1,VWC,2006.0,other,vwc,never pay,soft,enough,shallow well,groundwater,hand pump,2011,3,70,3.044522437723423,5.0
99,2724,2011-07-12 00:00:00,1394.0,31.53,-1.52024104,Lake Victoria,1,VWC,2010.0,gravity,vwc,never pay,soft,insufficient,river,surface,communal standpipe,2011,7,190,6.364750756851911,1.0
100,34794,2011-07-22 00:00:00,1006.0,31.14,-6.61124387,Lake Rukwa,0,Water authority,1978.0,gravity,water authority,never pay,soft,enough,spring,groundwater,communal standpipe,2011,7,200,3.9318256327243257,33.0
101,56525,2012-10-03 00:00:00,709.1666666666666,32.77,-3.90293977,Internal,1,VWC,2010.0,gravity,vwc,per bucket,soft,enough,spring,groundwater,communal standpipe multiple,2012,10,639,6.249975242259483,2.0
102,63155,2011-07-29 00:00:00,1145.75,31.61,-1.76796453,Lake Victoria,1,VWC,1997.0,submersible,vwc,never pay,soft,enough,spring,groundwater,communal standpipe,2011,7,207,6.16541785423142,14.0
103,67247,2011-03-01 00:00:00,1633.0,37.58,-7.08503792,Wami / Ruvu,1,VWC,2004.0,gravity,vwc,per bucket,soft,enough,river,surface,communal standpipe,2011,3,57,4.110873864173311,7.0
104,23387,2013-01-26 00:00:00,24.0,38.91,-8.78594686,Ruvuma / Southern Coast,1,other,2011.0,handpump,vwc,never pay,soft,enough,shallow well,groundwater,hand pump,2013,1,754,5.968707559985366,2.0
105,17873,2012-10-19 00:00:00,2031.0,32.31,-3.50805245,Lake Tanganyika,1,other,2009.0,other,unknown,unknown,unknown,unknown,unknown,unknown,hand pump,2012,10,655,8.418697944667139,3.0
106,18197,2011-06-03 00:00:00,1569.0,34.98,-8.82935561,Rufiji,1,VWC,2009.0,handpump,vwc,never pay,soft,enough,hand dtw,groundwater,hand pump,2011,6,151,3.713572066704308,2.0
107,24834,2013-02-16 00:00:00,1610.0,30.03,-4.43392653,Lake Tanganyika,1,Water authority,1999.0,gravity,water board,monthly,soft,enough,spring,groundwater,communal standpipe,2013,2,775,6.478509642208569,14.0
108,4091,2011-03-08 00:00:00,1504.0,38.24,-4.4588915,Pangani,1,VWC,1971.0,gravity,vwc,monthly,soft,enough,spring,groundwater,communal standpipe,2011,3,64,0.6931471805599453,40.0
109,33261,2011-04-18 00:00:00,2484.0,33.81,-9.26881883,Lake Nyasa,1,VWC,1986.0,gravity,vwc,unknown,soft,unknown,spring,groundwater,communal standpipe,2011,4,105,3.9318256327243257,25.0
110,44384,2013-02-07 00:00:00,1721.0,35.02,-4.18404892,Internal,1,VWC,1994.0,submersible,vwc,per bucket,soft,enough,machine dbh,groundwater,communal standpipe,2013,2,766,5.262690188904886,19.0
111,62096,2012-12-10 00:00:00,614.9481036711222,32.95,-4.99483567,Lake Tanganyika,0,VWC,1997.0,other,vwc,never pay,soft,dry,shallow well,groundwater,other,2012,12,707,5.392490536565286,15.0
112,64554,2013-03-15 00:00:00,78.0,39.08,-7.0035038,Wami / Ruvu,1,Private operator,2010.0,submersible,private operator,per bucket,soft,enough,hand dtw,groundwater,communal standpipe,2013,3,802,5.5254529391317835,3.0
113,68314,2011-03-01 00:00:00,1620.0,35.57,-7.94158325,Rufiji,1,VWC,1982.0,gravity,vwc,monthly,soft,enough,spring,groundwater,communal standpipe,2011,3,57,0.6931471805599453,29.0
114,53,2013-04-04 00:00:00,1414.0,36.67,-3.35742512,Pangani,1,VWC,2000.0,gravity,vwc,per bucket,soft,insufficient,spring,groundwater,communal standpipe,2013,4,822,5.303304908059076,13.0
115,23426,2011-04-04 00:00:00,388.2308474046279,33.91,-9.34663784,Lake Nyasa,1,VWC,2006.0,gravity,vwc,never pay,soft,enough,spring,groundwater,communal standpipe,2011,4,91,5.442417710521793,5.0
116,38259,2013-01-29 00:00:00,1982.0,31.64,-8.11393053,Lake Tanganyika,1,VWC,1984.0,gravity,vwc,never pay,soft,dry,river,surface,communal standpipe,2013,1,757,4.709530201312334,29.0
117,16631,2013-03-01 00:00:00,876.0,36.01,-10.73030401,Ruvuma / Southern Coast,1,WUG,1998.0,handpump,wug,monthly,soft,insufficient,shallow well,groundwater,hand pump,2013,3,788,5.303304908059076,15.0
118,43162,2013-01-27 00:00:00,1623.0,34.86,-4.96565066,Internal,1,Company,2000.0,submersible,company,never pay,soft,insufficient,machine dbh,groundwater,communal standpipe,2013,1,755,3.258096538021482,13.0
119,44492,2011-07-10 00:00:00,1257.5966170750582,31.45,-1.45098903,Lake Victoria,1,VWC,2004.0,handpump,vwc,never pay,soft,insufficient,shallow well,groundwater,hand pump,2011,7,188,5.673323267171493,7.0
120,38884,2012-10-14 00:00:00,1014.4015872372894,33.67,-3.66413309,Internal,0,VWC,1997.0,gravity,vwc,unknown,soft,insufficient,river,surface,communal standpipe multiple,2012,10,650,5.198497031265826,15.0
121,13690,2011-03-21 00:00:00,472.0,37.75,-6.91532531,Wami / Ruvu,1,VWC,2004.0,gravity,vwc,monthly,soft,enough,river,surface,communal standpipe,2011,3,77,5.5254529391317835,7.0
122,60335,2013-03-18 00:00:00,1639.0,37.48,-3.2671678,Pangani,1,Other,1972.0,gravity,other,never pay,soft,enough,river,surface,communal standpipe,2013,3,805,4.2626798770413155,41.0
123,31856,2012-10-06 00:00:00,1065.7570712877825,32.12,-4.21150952,Lake Tanganyika,1,other,2000.0,handpump,wug,unknown,soft,insufficient,shallow well,groundwater,hand pump,2012,10,642,5.170483995038151,12.0
124,67891,2011-03-12 00:00:00,173.0,38.36,-6.64287516,Wami / Ruvu,1,WUA,2010.0,submersible,wua,per bucket,soft,enough,river,surface,communal standpipe,2011,3,68,5.017279836814924,1.0
125,25564,2011-03-02 00:00:00,697.0,34.67,-10.44890839,Lake Nyasa,1,VWC,1984.0,gravity,vwc,never pay,soft,enough,spring,groundwater,communal standpipe,2011,3,58,4.110873864173311,27.0
126,55293,2011-02-26 00:00:00,1989.0,34.24,-9.38027549,Lake Nyasa,1,VWC,1984.0,gravity,vwc,never pay,soft,enough,spring,groundwater,communal standpipe,2011,2,54,5.872117789475416,27.0
127,31866,2013-03-30 00:00:00,1093.0,37.27,-3.28468532,Pangani,1,Water Board,2007.0,gravity,water board,per bucket,soft,enough,river,surface,communal standpipe,2013,3,817,3.044522437723423,6.0
128,71178,2011-07-20 00:00:00,1087.2,32.89,-8.98348456,Lake Rukwa,1,VWC,1998.0,handpump,vwc,on failure,soft,enough,shallow well,groundwater,hand pump,2011,7,198,5.993961427306569,13.0
